policy_id,segment_id,first_party_collection_use,third_party_sharing_collection,user_choice_control,user_access_edit_deletion,data_retention,data_security,policy_change,do_not_track,international_specific_audiences,other
686,16,no,yes,yes,no,no,no,no,no,no,no
1017,6,yes,no,no,no,no,no,no,no,no,no
531,21,yes,yes,no,no,yes,no,no,no,no,no
453,58,no,yes,no,no,no,yes,no,no,no,no
760,12,no,no,no,no,no,yes,no,no,no,no
1498,3,yes,no,no,no,no,no,no,no,no,no
453,100,no,no,no,no,no,no,no,no,yes,no
1545,28,no,no,no,no,no,no,no,no,no,yes
394,21,no,no,no,no,no,no,no,no,no,yes
200,3,yes,yes,no,no,no,no,no,no,no,no
1070,15,no,yes,no,no,no,no,no,no,no,no
1099,32,no,yes,yes,no,no,no,no,no,yes,no
962,62,yes,no,yes,no,no,no,no,no,no,no
807,13,no,yes,no,no,no,no,no,no,no,no
98,27,no,no,no,yes,no,no,no,no,no,no
962,13,yes,no,no,no,no,no,no,no,no,no
862,7,yes,no,no,no,no,no,no,no,no,no
21,30,no,no,no,no,no,no,no,no,yes,no
202,7,yes,no,no,no,yes,no,no,no,no,no
1259,13,no,no,yes,no,no,no,no,no,no,no
517,51,no,no,yes,yes,no,no,no,no,no,no
640,27,no,yes,no,no,no,no,no,no,no,no
359,12,yes,no,yes,no,no,no,no,no,no,no
1510,8,no,no,yes,yes,no,no,no,no,yes,yes
320,4,yes,no,no,no,no,no,no,no,no,no
807,0,no,no,no,no,no,yes,no,no,no,yes
1673,28,yes,yes,no,no,no,no,no,no,no,no
1050,67,no,yes,no,no,no,no,no,no,no,no
98,7,yes,no,no,no,no,no,no,no,no,yes
453,48,no,yes,no,no,no,no,no,no,no,no
940,18,yes,no,no,no,no,no,no,no,no,no
33,11,yes,no,no,no,no,no,no,no,no,no
652,33,yes,no,no,no,no,no,no,no,yes,no
1224,17,no,yes,no,no,no,no,no,no,no,yes
635,27,no,yes,no,no,no,no,no,no,no,no
627,18,no,no,no,no,no,no,no,no,yes,no
1300,56,no,yes,no,no,no,no,no,no,no,no
33,23,no,no,no,no,no,yes,no,no,no,no
1300,36,yes,yes,no,no,no,no,no,no,no,no
133,12,yes,no,no,no,no,no,no,no,no,no
642,6,no,no,no,no,no,no,no,no,yes,no
581,10,no,no,no,no,no,no,no,no,no,yes
20,18,no,yes,no,no,no,no,yes,no,no,no
1636,6,yes,yes,no,no,no,no,no,no,no,no
962,53,no,no,no,no,no,yes,no,no,no,no
394,34,no,yes,no,no,no,no,no,no,no,no
1099,31,no,yes,no,no,no,no,no,no,no,no
320,9,no,yes,no,no,no,no,no,no,no,no
817,2,yes,no,no,no,no,no,no,no,no,no
1099,28,no,no,yes,no,no,no,no,no,no,no
1264,1,yes,no,no,no,no,no,no,no,no,no
517,56,no,no,no,yes,no,no,no,no,no,yes
1259,49,no,no,yes,no,no,no,no,no,no,yes
1017,7,no,yes,no,no,no,no,no,no,no,no
1050,10,yes,yes,yes,no,no,no,no,no,no,no
175,24,no,no,yes,yes,no,no,no,no,no,no
1703,11,yes,no,yes,no,no,no,no,no,no,no
1050,71,no,no,yes,no,no,no,no,no,no,yes
1089,4,yes,no,no,no,no,no,no,no,no,no
186,6,yes,no,no,no,no,no,no,no,no,no
517,60,no,no,yes,yes,no,no,no,no,no,no
1034,26,no,yes,no,no,no,no,no,no,no,no
883,8,no,yes,no,no,no,no,no,no,no,no
891,32,no,yes,no,no,no,no,no,no,no,no
1360,2,yes,no,yes,no,no,no,no,no,no,no
320,26,no,yes,no,no,no,no,no,no,no,no
1206,3,no,no,no,no,no,no,no,no,no,yes
453,59,no,yes,yes,no,no,no,no,no,no,no
1694,28,no,no,yes,no,no,no,no,no,no,no
348,21,yes,yes,no,no,no,yes,no,no,no,no
531,27,no,no,no,no,no,no,no,no,no,yes
1713,53,no,no,yes,no,no,no,no,no,no,no
640,12,yes,yes,no,no,yes,no,no,no,no,no
481,3,yes,no,no,no,no,no,no,no,no,yes
453,68,no,no,no,no,no,yes,no,no,no,no
760,9,no,yes,yes,no,no,no,no,no,no,no
93,34,no,no,no,no,no,yes,no,no,no,no
883,7,no,no,no,no,no,no,no,no,no,yes
503,17,no,no,no,no,no,no,yes,no,no,no
70,57,no,yes,no,no,no,no,no,no,no,no
686,4,yes,yes,no,no,no,no,no,no,no,yes
940,50,yes,no,no,no,no,no,no,no,no,no
1713,36,no,yes,yes,no,no,no,no,no,no,no
359,1,no,no,no,no,no,no,no,no,no,yes
1636,16,yes,yes,no,no,no,no,no,no,no,no
1470,12,yes,yes,no,no,no,no,no,no,no,no
58,5,no,no,no,no,no,no,yes,no,no,no
640,15,no,no,yes,no,no,no,no,no,no,no
1259,10,yes,yes,yes,no,no,no,no,no,no,no
856,24,yes,no,no,no,no,no,no,no,no,no
33,57,no,yes,yes,no,no,no,no,no,yes,no
303,33,no,yes,yes,no,no,no,no,no,no,no
200,39,yes,yes,no,no,no,no,no,no,no,no
531,23,yes,no,no,no,no,no,no,no,no,no
1224,13,yes,no,no,no,no,no,no,no,no,no
962,4,yes,no,no,no,no,no,no,no,no,yes
1419,32,no,no,no,no,no,yes,no,no,no,yes
359,37,no,no,no,yes,yes,no,no,no,no,no
70,47,yes,no,no,no,no,no,no,no,no,no
1419,31,no,yes,no,no,no,no,no,no,no,yes
453,14,yes,no,no,no,no,no,no,no,no,no
105,12,no,yes,no,no,no,no,no,no,no,no
200,4,yes,no,no,no,no,no,no,no,no,yes
348,2,yes,no,no,no,no,yes,yes,no,no,yes
862,22,no,no,yes,no,no,no,no,no,no,no
1636,9,no,yes,no,no,no,no,no,no,no,no
26,15,yes,yes,no,no,no,no,no,no,no,no
481,9,yes,no,yes,no,no,no,no,no,no,no
1034,3,yes,no,no,no,no,no,no,no,no,no
1224,15,no,no,no,no,no,yes,no,no,no,no
686,38,no,no,yes,no,no,no,no,no,no,no
1050,6,yes,no,no,no,no,no,no,no,no,no
1300,33,yes,no,no,no,no,no,no,no,no,no
26,31,yes,no,no,no,no,no,no,no,no,no
1083,16,no,yes,no,no,no,no,no,no,no,no
331,4,yes,yes,yes,no,no,no,no,no,no,yes
962,66,no,yes,yes,no,no,no,no,no,no,no
891,27,no,yes,no,no,no,no,no,no,no,no
856,22,no,no,no,no,no,no,no,no,no,yes
1361,27,no,no,no,no,no,yes,no,no,no,no
202,9,yes,no,no,no,no,no,no,no,no,no
1498,28,no,no,no,yes,no,no,no,no,yes,no
1050,15,no,no,no,no,no,no,no,yes,no,no
1673,13,yes,yes,no,no,no,no,no,no,no,no
503,18,yes,no,no,no,no,no,yes,no,yes,no
105,17,no,no,no,no,no,yes,no,no,no,no
359,14,no,no,no,yes,no,no,no,no,no,no
207,10,no,yes,no,no,no,no,no,no,no,no
20,2,yes,no,yes,yes,no,no,yes,no,no,no
1028,5,yes,no,no,no,no,no,no,no,no,no
453,16,no,no,no,no,no,no,no,no,no,yes
591,34,no,yes,no,no,no,no,no,no,no,no
940,16,yes,no,no,no,no,no,no,no,no,no
98,33,yes,yes,no,no,no,no,no,no,no,no
303,5,yes,no,no,no,yes,no,no,no,no,no
394,29,no,no,yes,no,no,no,no,no,no,no
1361,32,no,no,no,no,no,no,no,no,no,yes
1259,12,yes,yes,no,no,no,no,no,no,no,no
523,18,no,yes,no,no,no,no,no,no,no,yes
1582,30,yes,no,no,yes,no,no,no,no,no,no
1703,3,yes,no,no,no,no,no,no,no,no,no
26,55,no,no,no,yes,no,no,no,no,no,no
1510,26,no,no,yes,no,no,no,no,no,no,no
200,9,yes,no,yes,no,no,no,no,no,no,no
1683,12,no,no,no,no,no,no,no,no,no,yes
1028,23,no,yes,no,no,no,no,no,no,no,no
453,95,no,yes,no,no,no,no,no,no,no,yes
856,33,no,no,no,no,no,no,yes,no,no,yes
891,18,yes,no,no,no,no,no,no,no,no,no
701,1,yes,no,no,no,no,yes,no,no,no,no
331,12,no,yes,no,no,no,no,no,no,no,no
1510,2,no,no,no,no,no,no,yes,no,no,no
1034,2,no,no,no,no,no,no,no,no,no,yes
33,28,yes,yes,yes,no,no,no,no,no,no,no
591,41,no,no,no,no,no,no,yes,no,no,no
1205,2,no,no,yes,no,no,no,no,no,no,no
817,0,yes,no,no,no,no,yes,no,no,no,yes
1498,35,no,no,no,no,no,no,no,no,yes,no
1618,24,no,yes,yes,no,no,no,no,no,no,yes
940,31,no,yes,no,no,no,no,no,no,no,no
331,1,yes,no,no,no,no,yes,no,no,no,no
1468,42,no,yes,no,no,no,no,no,no,no,no
1221,5,no,yes,no,no,no,no,no,no,no,yes
1259,14,no,yes,no,no,no,no,no,no,no,no
1683,7,yes,no,no,no,yes,no,no,no,no,no
21,8,yes,no,yes,no,no,no,no,no,no,no
1259,21,no,yes,no,no,no,no,no,no,no,no
928,9,yes,no,no,no,no,no,no,no,no,yes
200,14,yes,no,no,no,no,yes,no,no,no,no
1306,3,yes,no,no,no,no,no,no,no,no,no
531,4,no,yes,no,no,no,yes,no,no,no,no
1683,3,yes,yes,yes,no,no,no,no,no,no,no
1361,12,no,yes,no,no,no,no,no,no,no,no
1034,40,no,no,no,no,no,no,no,no,no,yes
202,21,yes,no,no,no,no,no,no,no,yes,no
883,5,yes,yes,no,no,no,no,no,no,no,no
1510,11,yes,yes,no,no,no,yes,no,no,no,no
1050,56,yes,no,no,no,no,no,no,no,no,yes
1468,52,no,no,no,yes,no,no,no,no,no,no
26,17,no,yes,no,no,no,no,no,no,no,yes
105,13,no,yes,yes,no,no,no,no,no,no,no
1545,8,no,no,yes,yes,no,no,no,no,yes,no
940,9,yes,no,no,no,no,no,no,no,no,no
1300,27,yes,no,no,no,no,yes,no,no,no,yes
940,93,no,no,no,no,yes,no,no,no,no,no
1106,37,no,no,no,no,no,no,yes,no,no,no
641,8,no,no,no,no,no,no,no,no,no,yes
1050,48,yes,no,yes,no,no,no,no,no,no,no
453,4,yes,no,no,no,no,no,no,no,no,no
1498,17,no,yes,no,no,no,no,no,no,no,no
303,45,no,no,no,no,no,no,no,no,no,no
641,7,no,no,no,no,no,yes,no,no,no,yes
1099,20,no,yes,yes,no,no,no,no,no,no,no
642,13,no,no,no,no,no,no,yes,no,no,no
202,19,yes,yes,yes,no,no,yes,no,no,no,no
394,2,yes,no,no,no,no,no,no,no,no,yes
581,4,no,no,yes,no,no,no,no,no,no,no
1713,52,no,no,yes,no,no,no,no,no,no,no
1261,2,yes,yes,yes,no,no,no,no,no,no,no
1028,1,yes,yes,yes,yes,no,yes,no,no,no,no
1694,22,no,no,no,no,no,yes,no,no,no,no
1028,41,no,no,no,no,no,no,no,no,no,yes
32,8,no,yes,no,no,no,no,no,no,no,no
207,2,yes,yes,no,no,no,no,yes,no,no,yes
746,26,no,yes,yes,yes,yes,no,no,no,no,no
144,18,no,no,no,no,no,no,no,no,yes,no
93,16,no,yes,yes,no,no,no,no,no,no,no
517,52,no,no,no,yes,no,no,no,no,no,no
1618,35,yes,no,yes,no,no,no,no,no,yes,no
531,50,no,no,no,no,no,yes,no,no,no,no
1510,14,yes,yes,no,no,no,no,no,no,no,no
523,14,no,no,no,yes,no,no,no,no,no,yes
414,20,no,yes,no,no,no,no,no,no,yes,no
1673,7,no,yes,no,no,no,no,no,no,no,no
1498,12,yes,yes,no,no,no,no,no,no,no,no
1050,19,no,no,no,no,no,no,no,no,no,yes
70,61,no,yes,yes,no,no,no,no,no,no,no
207,21,no,no,yes,no,no,no,no,yes,no,no
1545,17,no,yes,no,no,no,no,no,no,no,no
1083,11,yes,no,no,no,no,yes,no,no,no,no
1361,4,no,yes,no,no,no,no,no,no,no,yes
453,27,yes,no,yes,no,no,no,no,no,no,no
144,3,yes,yes,yes,no,no,no,no,no,no,no
1694,10,yes,yes,yes,no,no,no,no,no,no,no
1673,9,no,no,no,no,no,no,no,no,no,yes
133,31,yes,no,no,no,no,no,no,no,no,no
200,36,yes,yes,yes,no,no,no,no,no,no,no
348,10,yes,yes,no,no,no,no,no,no,no,no
862,18,no,yes,no,no,no,yes,no,no,no,no
1539,22,no,no,no,yes,no,no,no,no,yes,no
723,2,no,yes,no,no,no,no,no,no,no,no
70,42,yes,no,no,no,no,no,no,no,no,no
517,59,no,no,no,yes,no,no,no,no,no,yes
200,0,no,no,no,no,no,no,no,no,no,yes
133,38,no,no,no,yes,yes,no,no,no,no,no
1673,18,no,yes,no,no,no,no,no,no,no,no
1106,3,no,yes,no,no,no,yes,no,no,no,no
1498,26,no,no,yes,no,no,no,no,no,no,no
1713,68,no,no,no,no,no,no,no,no,no,yes
303,21,yes,no,yes,no,no,no,no,no,no,no
642,14,no,no,no,no,no,no,no,no,no,yes
1618,22,no,no,yes,no,no,no,no,no,no,no
456,7,no,yes,yes,no,no,no,no,no,no,no
817,3,no,yes,no,no,no,no,no,no,no,no
200,42,no,yes,yes,no,no,no,no,no,no,no
93,17,yes,no,no,no,no,no,no,no,no,no
93,10,yes,no,yes,no,no,no,no,no,no,no
200,11,yes,no,yes,no,no,no,no,no,no,no
517,22,yes,yes,yes,no,no,no,no,no,no,no
21,17,no,yes,no,no,no,no,no,no,no,no
1694,31,no,no,yes,no,no,no,no,no,no,no
186,30,no,yes,yes,yes,no,no,no,no,yes,no
228,11,no,yes,no,no,no,no,no,no,no,no
70,53,no,yes,yes,no,no,no,no,no,no,no
207,14,no,no,no,no,no,no,no,no,no,yes
